prod;price;img;tag;link
Placa de Vídeo RX 6750 XT Gaming OC Sapphire Pulse, 12GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11318-03-20G;3399.99;https://images.kabum.com.br/produtos/fotos/351579/placa-de-video-sapphire-pulse-rx-6750xt-gaming-oc-12gb-gddr6-arquitetura-rdna2-ray-tracing-11318-03-20g_1657207633_m.jpg;Placa de Vídeo RX 6750 XT Gaming OC Sapphire Pulse, 12GB GDDR6, Arquitetura RDNA2, Ray Tracing - 11318-03-20G;/produto/351579/placa-de-video-rx-6750-xt-gaming-oc-sapphire-pulse-12gb-gddr6-arquitetura-rdna2-ray-tracing-11318-03-20g
Placa de Vídeo RX 550 Duex AMD Radeon, 4GB, DDR5 - DXRX5504GB;799.99;https://images.kabum.com.br/produtos/fotos/255155/placa-de-video-duex-amd-radeon-rx-550-4gb-preto-dxrx5504gb_1637325900_m.jpg;Placa de Vídeo RX 550 Duex AMD Radeon, 4GB, DDR5 - DXRX5504GB;/produto/255155/placa-de-video-rx-550-duex-amd-radeon-4gb-ddr5-dxrx5504gb
Placa de Video PNY NVIDIA Geforce RTX 4090 XLR8 Gaming Verto Edition, 24 GB GDDR6X, RGB, DLSS, Ray Tracing - VCG409024TFXXPB1;11249.99;https://images.kabum.com.br/produtos/fotos/388795/placa-de-video-pny-nvidia-geforce-rtx4090-xlr8-gaming-verto-edition-24-gb-gddr6x-rgb-dlss-ray-tracing-vcg409024tfxxpb1_1665167474_m.jpg;Placa de Video PNY NVIDIA Geforce RTX 4090 XLR8 Gaming Verto Edition, 24 GB GDDR6X, RGB, DLSS, Ray Tracing - VCG409024TFXXPB1;/produto/388795/placa-de-video-pny-nvidia-geforce-rtx-4090-xlr8-gaming-verto-edition-24-gb-gddr6x-rgb-dlss-ray-tracing-vcg409024tfxxpb1
Placa de Vídeo PNY NVIDIA GeForce RTX 3080 Ti Gaming Uprising Epic-x, 12 GB GDDR6X, RGB, DLSS - VCG3080T12TFXMPB1-TF;6519.99;https://images.kabum.com.br/produtos/fotos/398442/placa-de-video-pny-nvidia-geforce-rtx-3080-ti-gaming-uprising-epic-x-12-gb-gddr6x-rgb-dlss-vcg3080t12tfxmpb1-tf_1671566241_m.jpg;Placa de Vídeo PNY NVIDIA GeForce RTX 3080 Ti Gaming Uprising Epic-x, 12 GB GDDR6X, RGB, DLSS - VCG3080T12TFXMPB1-TF;/produto/398442/placa-de-video-pny-nvidia-geforce-rtx-3080-ti-gaming-uprising-epic-x-12-gb-gddr6x-rgb-dlss-vcg3080t12tfxmpb1-tf
Placa De Vídeo Storm-z Gt210 1GB 64bits Ddr3;179.5;https://images.kabum.com.br/produtos/fotos/sync_mirakl/420700/Placa-De-V-deo-Storm-z-Gt210-1gb-64bits-Ddr3_1683811726_m.jpg;Placa De Vídeo Storm-z Gt210 1GB 64bits Ddr3;/produto/420700/placa-de-video-storm-z-gt210-1gb-64bits-ddr3
Placa De Vídeo Pcyes Radeon R5 220, 2GB, GDDR3, 64 Bits, Low Profile - Pvr52202GBr364;211.11;https://images.kabum.com.br/produtos/fotos/sync_mirakl/422627/Placa-De-V-deo-Pcyes-Radeon-R5-220-2GB-GDDR3-64-Bits-Low-Profile-Pvr52202GBr364_1684498134_m.jpg;Placa De Vídeo Pcyes Radeon R5 220, 2GB, GDDR3, 64 Bits, Low Profile - Pvr52202GBr364;/produto/422627/placa-de-video-pcyes-radeon-r5-220-2gb-gddr3-64-bits-low-profile-pvr52202gbr364
Placa de Vídeo Galax NVIDIA GeForce RTX 3060 TI, 8GB GDDR6, LHR, 1-Click OC, 256 Bits - 36ISL6MD1VQ;2649.99;https://images.kabum.com.br/produtos/fotos/sync_mirakl/222704/Placa-de-V-deo-Galax-NVIDIA-GeForce-RTX-3060-TI-8GB-GDDR6-LHR-1-Click-OC-256-Bits-36ISL6MD1VQ_1684327728_m.jpg;Placa de Vídeo Galax NVIDIA GeForce RTX 3060 TI, 8GB GDDR6, LHR, 1-Click OC, 256 Bits - 36ISL6MD1VQ;/produto/222704/placa-de-video-galax-nvidia-geforce-rtx-3060-ti-8gb-gddr6-lhr-1-click-oc-256-bits-36isl6md1vq
Placa de Vídeo Galax NVIDIA GeForce GTX 1660TI OC, 6GB GDDR, 1-Click - 60IRL7DSY91C;1837.24;https://images.kabum.com.br/produtos/fotos/sync_mirakl/239246/Placa-de-V-deo-Galax-NVIDIA-GeForce-GTX-1660TI-OC-6GB-GDDR-1-Click-60IRL7DSY91C_1674571102_m.jpg;Placa de Vídeo Galax NVIDIA GeForce GTX 1660TI OC, 6GB GDDR, 1-Click - 60IRL7DSY91C;/produto/239246/placa-de-video-galax-nvidia-geforce-gtx-1660ti-oc-6gb-gddr-1-click-60irl7dsy91c
Placa de Vídeo Gainward NVIDIA GeForce RTX 3060 Ghost OC, 12GB GDDR6, 192 Bits - NE63060T19K9-190AU;2804.15;https://images.kabum.com.br/produtos/fotos/sync_mirakl/167781/Placa-de-V-deo-Gainward-NVIDIA-GeForce-RTX-3060-Ghost-OC-12GB-GDDR6-192-Bits-NE63060T19K9-190AU_1684785508_m.jpg;Placa de Vídeo Gainward NVIDIA GeForce RTX 3060 Ghost OC, 12GB GDDR6, 192 Bits - NE63060T19K9-190AU;/produto/167781/placa-de-video-gainward-nvidia-geforce-rtx-3060-ghost-oc-12gb-gddr6-192-bits-ne63060t19k9-190au
Placa de Vídeo PCYes AMD Radeon R5 230, 2GB DDR3, 64 Bits - PA230DR364LP;251.01;https://images.kabum.com.br/produtos/fotos/sync_mirakl/380080/Placa-de-V-deo-PCYes-AMD-Radeon-R5-230-2GB-DDR3-64-Bits-PA230DR364LP_1675794541_m.jpg;Placa de Vídeo PCYes AMD Radeon R5 230, 2GB DDR3, 64 Bits - PA230DR364LP;/produto/380080/placa-de-video-pcyes-amd-radeon-r5-230-2gb-ddr3-64-bits-pa230dr364lp
Placa de Vídeo RTX 4080 Extreme Air ZOTAC NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - ZT-D40810B-10P;7899.99;https://images.kabum.com.br/produtos/fotos/397584/placa-de-video-rtx-4080-extreme-airo-zotac-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-zt-d40810b-10p_1668091479_m.jpg;Placa de Vídeo RTX 4080 Extreme Air ZOTAC NVIDIA GeForce, 16 GB GDDR6X, DLSS, Ray Tracing - ZT-D40810B-10P;/produto/397584/placa-de-video-rtx-4080-extreme-air-zotac-nvidia-geforce-16-gb-gddr6x-dlss-ray-tracing-zt-d40810b-10p
Placa de Video RTX 4070 Twin Edge OC Zotac NVIDIA GeForce, 12 GB GDDR6X, DLSS,  Ray Tracing - ZT-D40700H-10M;4989.99;https://images.kabum.com.br/produtos/fotos/450398/placa-de-video-rtx-4070-twin-edge-oc-zotac-nvidia-geforce-12-gb-gddr6x-dlss-ray-tracing-zt-d40700h-10p_1681160504_m.jpg;Placa de Video RTX 4070 Twin Edge OC Zotac NVIDIA GeForce, 12 GB GDDR6X, DLSS,  Ray Tracing - ZT-D40700H-10M;/produto/450398/placa-de-video-rtx-4070-twin-edge-oc-zotac-nvidia-geforce-12-gb-gddr6x-dlss-ray-tracing-zt-d40700h-10m
Placa de Vídeo Colorful, NVIDIA GeForce GT 710, 2GB, GDDR3, 64 Bits;226.64;https://images.kabum.com.br/produtos/fotos/sync_mirakl/154488/Placa-de-V-deo-Colorful-NVIDIA-GeForce-GT-710-2GB-GDDR3-64-Bits_1678979907_m.jpg;Placa de Vídeo Colorful, NVIDIA GeForce GT 710, 2GB, GDDR3, 64 Bits;/produto/154488/placa-de-video-colorful-nvidia-geforce-gt-710-2gb-gddr3-64-bits
Placa de Vídeo RTX 4070 Ti XLR8 Gaming Verto TF OC PNY NVIDIA GeForce, 12GB GDDR6X, DLSS 3, Ray Tracing - VCG4070T12TFXXPB1-O;6799.99;https://images.kabum.com.br/produtos/fotos/403269/placa-de-video-pny-rtx-4070ti-12gb-oc-vcg4070t12tfxxpb1-o_1672846639_m.jpg;Placa de Vídeo RTX 4070 Ti XLR8 Gaming Verto TF OC PNY NVIDIA GeForce, 12GB GDDR6X, DLSS 3, Ray Tracing - VCG4070T12TFXXPB1-O;/produto/403269/placa-de-video-rtx-4070-ti-xlr8-gaming-verto-tf-oc-pny-nvidia-geforce-12gb-gddr6x-dlss-3-ray-tracing-vcg4070t12tfxxpb1-o
